subject,volume,modality,data,vessel,stimDur
sub-06,13,bold,4.327443094771132,veins,4
sub-06,13,bold,2.804975801556955,arteries,4
sub-06,14,bold,3.455137994598421,veins,4
sub-06,14,bold,2.6115928274519566,arteries,4
sub-06,15,bold,2.3488309587918907,veins,4
sub-06,15,bold,2.2406225491183736,arteries,4
sub-06,16,bold,1.111839595162547,veins,4
sub-06,16,bold,1.67786990994608,arteries,4
sub-06,17,bold,-0.16430936696696807,veins,4
sub-06,17,bold,0.9359894221099828,arteries,4
sub-06,18,bold,-1.2896328527036842,veins,4
sub-06,18,bold,0.17971211801963197,arteries,4
sub-06,19,bold,-2.1712821576601793,veins,4
sub-06,19,bold,-0.4942139636796407,arteries,4
sub-06,20,bold,-2.6900392149287353,veins,4
sub-06,20,bold,-0.9412834178322068,arteries,4
sub-06,21,bold,-2.918324043995678,veins,4
sub-06,21,bold,-1.1501154238039326,arteries,4
sub-06,22,bold,-2.9643547774057475,veins,4
sub-06,22,bold,-1.2045753850747496,arteries,4
sub-06,23,bold,-2.948990002079817,veins,4
sub-06,23,bold,-1.1768819697418624,arteries,4
sub-06,24,bold,-3.007492406106574,veins,4
sub-06,24,bold,-1.2206952196167187,arteries,4
sub-06,25,bold,-3.1249683172716054,veins,4
sub-06,25,bold,-1.313590699799513,arteries,4
sub-06,26,bold,-3.2782387402336797,veins,4
sub-06,26,bold,-1.4381961356323643,arteries,4
sub-06,27,bold,-3.4193575563935905,veins,4
sub-06,27,bold,-1.5775168059700742,arteries,4
sub-06,28,bold,-3.4824893739302425,veins,4
sub-06,28,bold,-1.622106374923673,arteries,4
sub-06,29,bold,-3.4505197833847463,veins,4
sub-06,29,bold,-1.6106453504909943,arteries,4
sub-06,30,bold,-3.313598411252427,veins,4
sub-06,30,bold,-1.5297795523918345,arteries,4
sub-06,31,bold,-3.0793324568290035,veins,4
sub-06,31,bold,-1.388584613738798,arteries,4
sub-06,32,bold,-2.7627587500319617,veins,4
sub-06,32,bold,-1.2592128375305551,arteries,4
sub-06,33,bold,-2.3403634060871448,veins,4
sub-06,33,bold,-1.0827397637264378,arteries,4
sub-06,34,bold,-1.82775538631531,veins,4
sub-06,34,bold,-0.8378226724303525,arteries,4
sub-06,0,vaso,-1.9912871310885256,veins,12
sub-06,0,vaso,-0.5293018261904933,arteries,12
sub-06,1,vaso,-1.7872452649423176,veins,12
sub-06,1,vaso,-0.49877389922778653,arteries,12
sub-06,2,vaso,-1.5541906589946182,veins,12
sub-06,2,vaso,0.09388502690809705,arteries,12
sub-06,3,vaso,-1.2866293286243276,veins,12
sub-06,3,vaso,0.10860162089942062,arteries,12
sub-06,4,vaso,-0.9798420112217998,veins,12
sub-06,4,vaso,0.2689510863258878,arteries,12
sub-06,5,vaso,-0.5702565016886278,veins,12
sub-06,5,vaso,-0.25470567551128476,arteries,12
sub-06,6,vaso,0.002948741694560983,veins,12
sub-06,6,vaso,-0.7434956675899675,arteries,12
sub-06,7,vaso,0.5703720916423809,veins,12
sub-06,7,vaso,-1.4337209835497824,arteries,12
sub-06,8,vaso,1.293248340063078,veins,12
sub-06,8,vaso,-2.303482297305704,arteries,12
sub-06,9,vaso,2.109543876364629,veins,12
sub-06,9,vaso,-2.495729489385776,arteries,12
sub-06,10,vaso,2.901824973037829,veins,12
sub-06,10,vaso,-2.632282911726811,arteries,12
sub-06,11,vaso,3.6375155979510034,veins,12
sub-06,11,vaso,-2.650511324002999,arteries,12
sub-06,12,vaso,4.226328916480505,veins,12
sub-06,12,vaso,-3.1951814241181764,arteries,12
sub-06,13,vaso,4.66952467046652,veins,12
sub-06,13,vaso,-3.414365505546629,arteries,12
sub-06,14,vaso,5.039564555343936,veins,12
sub-06,14,vaso,-3.6627200849099215,arteries,12
sub-06,15,vaso,5.3920885603171556,veins,12
