subject,session,volume,modality,data,stimDur,jitter,interpolation
sub-05,ses-01,0,vaso,-0.7309015822197118,2.0,355,linear
sub-05,ses-01,1,vaso,-0.22896422841371944,2.0,355,linear
sub-05,ses-01,2,vaso,0.2553612884166001,2.0,355,linear
sub-05,ses-01,3,vaso,0.4314796581730729,2.0,355,linear
sub-05,ses-01,4,vaso,0.4843151691000247,2.0,355,linear
sub-05,ses-01,5,vaso,-1.0347730294846258e-05,2.0,355,linear
sub-05,ses-01,6,vaso,-0.3874707611945638,2.0,355,linear
sub-05,ses-01,7,vaso,-0.45791810909714403,2.0,355,linear
sub-05,ses-01,8,vaso,-0.26418790236502065,2.0,355,linear
sub-05,ses-01,9,vaso,0.41386782119743337,2.0,355,linear
sub-05,ses-01,10,vaso,1.0919235447598874,2.0,355,linear
sub-05,ses-01,11,vaso,1.5146076321754465,2.0,355,linear
sub-05,ses-01,12,vaso,1.6026668170536884,2.0,355,linear
sub-05,ses-01,13,vaso,1.1007294632477072,2.0,355,linear
sub-05,ses-01,14,vaso,0.5371506800269654,2.0,355,linear
sub-05,ses-01,15,vaso,-0.05284585865723557,2.0,355,linear
sub-05,ses-01,16,vaso,-0.5283654569997465,2.0,355,linear
sub-05,ses-01,17,vaso,-0.5371713754875662,2.0,355,linear
sub-05,ses-01,18,vaso,-0.37866484270674405,2.0,355,linear
sub-05,ses-01,19,vaso,-1.0347730294846258e-05,2.0,355,linear
sub-05,ses-01,0,bold,-1.791442411322608,2.0,785,linear
sub-05,ses-01,1,bold,-1.9646833481134607,2.0,785,linear
sub-05,ses-01,2,bold,-1.8615009289080664,2.0,785,linear
sub-05,ses-01,3,bold,-1.12104981836042,2.0,785,linear
sub-05,ses-01,4,bold,-0.20589211165822352,2.0,785,linear
sub-05,ses-01,5,bold,0.686108177097311,2.0,785,linear
sub-05,ses-01,6,bold,1.344775495149797,2.0,785,linear
sub-05,ses-01,7,bold,1.3365678027130068,2.0,785,linear
sub-05,ses-01,8,bold,0.9938966434769769,2.0,785,linear
sub-05,ses-01,9,bold,0.44544690957568633,2.0,785,linear
sub-05,ses-01,10,bold,-0.16045667138313569,2.0,785,linear
sub-05,ses-01,11,bold,-0.5125080505469226,2.0,785,linear
sub-05,ses-01,12,bold,-0.7434959662680263,2.0,785,linear
sub-05,ses-01,13,bold,-0.8560586054011776,2.0,785,linear
sub-05,ses-01,14,bold,-0.8715945946565218,2.0,785,linear
sub-05,ses-01,15,bold,-0.872473990274758,2.0,785,linear
sub-05,ses-01,16,bold,-0.8537135504192328,2.0,785,linear
sub-05,ses-01,17,bold,-0.8191239894356217,2.0,785,linear
sub-05,ses-01,18,bold,-0.7980184945981517,2.0,785,linear
sub-05,ses-01,19,bold,-0.7804305822335933,2.0,785,linear
sub-05,ses-01,0,bold,-1.0697517406304868,2.0,0.0,linear
sub-05,ses-01,1,bold,-0.9193750899135544,2.0,0.0,linear
sub-05,ses-01,2,bold,-0.6145179422613278,2.0,0.0,linear
sub-05,ses-01,3,bold,-0.1586978801466743,2.0,0.0,linear
sub-05,ses-01,4,bold,0.5278169658163412,2.0,0.0,linear
sub-05,ses-01,5,bold,1.1885362069780303,2.0,0.0,linear
sub-05,ses-01,6,bold,1.6783595663307782,2.0,0.0,linear
sub-05,ses-01,7,bold,1.880034294777655,2.0,0.0,linear
sub-05,ses-01,8,bold,1.5071705526491508,2.0,0.0,linear
sub-05,ses-01,9,bold,0.8945249386172582,2.0,0.0,linear
sub-05,ses-01,10,bold,0.19364663088985434,2.0,0.0,linear
sub-05,ses-01,11,bold,-0.43394870865192114,2.0,0.0,linear
sub-05,ses-01,12,bold,-0.6408998108081487,2.0,0.0,linear
sub-05,ses-01,13,bold,-0.6552632725725371,2.0,0.0,linear
sub-05,ses-01,14,bold,-0.5432868971848914,2.0,0.0,linear
sub-05,ses-01,15,bold,-0.396134697068129,2.0,0.0,linear
sub-05,ses-01,16,bold,-0.42017151063302727,2.0,0.0,linear
sub-05,ses-01,17,bold,-0.4957995338006005,2.0,0.0,linear
sub-05,ses-01,18,bold,-0.6159836016250475,2.0,0.0,linear
sub-05,ses-01,19,bold,-0.7552212411777393,2.0,0.0,linear
sub-05,ses-01,0,bold,-2.951658363637566,2.0,.57,linear
sub-05,ses-01,1,bold,-2.889221274743403,2.0,.57,linear
sub-05,ses-01,2,bold,-2.621591874929474,2.0,.57,linear
sub-05,ses-01,3,bold,-1.997807249733352,2.0,.57,linear
sub-05,ses-01,4,bold,-1.2426995455485756,2.0,.57,linear
sub-05,ses-01,5,bold,-0.4837811270181569,2.0,.57,linear
sub-05,ses-01,6,bold,0.14909058623298055,2.0,.57,linear
sub-05,ses-01,7,bold,0.4401705358663355,2.0,.57,linear
sub-05,ses-01,8,bold,0.48062273430478086,2.0,.57,linear
sub-05,ses-01,9,bold,0.28950075327665026,2.0,.57,linear
sub-05,ses-01,10,bold,-0.08248359323361765,2.0,.57,linear
sub-05,ses-01,11,bold,-0.5594091501857301,2.0,.57,linear
sub-05,ses-01,12,bold,-1.071510531866926,2.0,.57,linear
sub-05,ses-01,13,bold,-1.5534193306556698,2.0,.57,linear
sub-05,ses-01,14,bold,-1.942112193912271,2.0,.57,linear
sub-05,ses-01,15,bold,-2.1385105486497635,2.0,.57,linear
sub-05,ses-01,16,bold,-2.2161904949265288,2.0,.57,linear
sub-05,ses-01,17,bold,-2.1953781319618337,2.0,.57,linear
sub-05,ses-01,18,bold,-2.1226814275216777,2.0,.57,linear
sub-05,ses-01,19,bold,-2.090436921519989,2.0,.57,linear
sub-05,ses-01,0,bold,-1.485705868052145,2.0,355,linear
sub-05,ses-01,1,bold,-1.4012838887022983,2.0,355,linear
sub-05,ses-01,2,bold,-1.4610827907417634,2.0,355,linear
sub-05,ses-01,3,bold,-1.4830676811974697,2.0,355,linear
sub-05,ses-01,4,bold,-1.402456416193265,2.0,355,linear
