44.5457 	DATA 	Keypress: 5
44.5460 	DATA 	TR 55 | TR1 28 | TR2 27
45.4307 	DATA 	Keypress: 5
45.4312 	DATA 	TR 56 | TR1 28 | TR2 28
45.5289 	DATA 	
45.5289 	DATA 	stimulation stopped
45.5289 	DATA 	
46.3104 	DATA 	Keypress: 5
46.3108 	DATA 	TR 57 | TR1 29 | TR2 28
47.1632 	DATA 	Keypress: 5
47.1772 	DATA 	TR 58 | TR1 29 | TR2 29
47.9617 	DATA 	Keypress: 5
47.9804 	DATA 	TR 59 | TR1 30 | TR2 29
48.8448 	DATA 	Keypress: 5
48.8452 	DATA 	TR 60 | TR1 30 | TR2 30
49.6432 	DATA 	Keypress: 5
49.6435 	DATA 	TR 61 | TR1 31 | TR2 30
50.4796 	DATA 	Keypress: 5
50.4937 	DATA 	TR 62 | TR1 31 | TR2 31
51.2798 	DATA 	Keypress: 5
51.2803 	DATA 	TR 63 | TR1 32 | TR2 31
52.0973 	DATA 	Keypress: 5
52.0977 	DATA 	TR 64 | TR1 32 | TR2 32
52.9297 	DATA 	Keypress: 5
52.9301 	DATA 	TR 65 | TR1 33 | TR2 32
53.7102 	DATA 	Keypress: 5
53.7105 	DATA 	TR 66 | TR1 33 | TR2 33
54.5268 	DATA 	Keypress: 5
54.5272 	DATA 	TR 67 | TR1 34 | TR2 33
55.3603 	DATA 	Keypress: 5
55.3606 	DATA 	TR 68 | TR1 34 | TR2 34
56.1935 	DATA 	Keypress: 5
56.1939 	DATA 	TR 69 | TR1 35 | TR2 34
57.0102 	DATA 	Keypress: 5
57.0106 	DATA 	TR 70 | TR1 35 | TR2 35
57.7978 	DATA 	Keypress: 5
57.7983 	DATA 	TR 71 | TR1 36 | TR2 35
58.6771 	DATA 	Keypress: 5
58.6775 	DATA 	TR 72 | TR1 36 | TR2 36
59.4797 	DATA 	Keypress: 5
59.4938 	DATA 	TR 73 | TR1 37 | TR2 36
60.2118 	DATA 	Keypress: 5
60.2122 	DATA 	TR 74 | TR1 37 | TR2 37
61.0766 	DATA 	Keypress: 5
61.0770 	DATA 	TR 75 | TR1 38 | TR2 37
61.8785 	DATA 	Keypress: 5
61.8789 	DATA 	TR 76 | TR1 38 | TR2 38
62.5933 	DATA 	Keypress: 5
62.5937 	DATA 	TR 77 | TR1 39 | TR2 38
63.3451 	DATA 	Keypress: 5
63.3455 	DATA 	TR 78 | TR1 39 | TR2 39
64.1788 	DATA 	Keypress: 5
64.1792 	DATA 	TR 79 | TR1 40 | TR2 39
65.0465 	DATA 	Keypress: 5
65.0469 	DATA 	TR 80 | TR1 40 | TR2 40
65.8931 	DATA 	Keypress: 5
65.8935 	DATA 	TR 81 | TR1 41 | TR2 40
66.7287 	DATA 	Keypress: 5
66.7291 	DATA 	TR 82 | TR1 41 | TR2 41
67.5865 	DATA 	Keypress: 5
67.5870 	DATA 	TR 83 | TR1 42 | TR2 41
68.5205 	DATA 	Keypress: 5
68.5211 	DATA 	TR 84 | TR1 42 | TR2 42
69.3526 	DATA 	Keypress: 5
69.3530 	DATA 	TR 85 | TR1 43 | TR2 42
70.2033 	DATA 	Keypress: 5
70.2038 	DATA 	TR 86 | TR1 43 | TR2 43
70.9527 	DATA 	Keypress: 5
70.9531 	DATA 	TR 87 | TR1 44 | TR2 43
71.7705 	DATA 	Keypress: 5
71.7711 	DATA 	TR 88 | TR1 44 | TR2 44
72.5028 	DATA 	Keypress: 5
72.5032 	DATA 	TR 89 | TR1 45 | TR2 44
73.3531 	DATA 	Keypress: 5
73.3535 	DATA 	TR 90 | TR1 45 | TR2 45
74.1203 	DATA 	Keypress: 5
74.1209 	DATA 	TR 91 | TR1 46 | TR2 45
74.7189 	DATA 	Target presented
74.9705 	DATA 	Keypress: 5
74.9709 	DATA 	TR 92 | TR1 46 | TR2 46
75.5180 	DATA 	
75.5180 	DATA 	Trial complete
75.5180 	DATA 	Waiting for VASO trigger to start next trial
75.5180 	DATA 	
76.0028 	DATA 	Keypress: 1
76.0032 	DATA 	Key1 pressed
76.0032 	DATA 	Target detected
76.2023 	DATA 	Keypress: 5
76.2027 	DATA 	Waited 0.6846279189994675 seconds for trigger
76.2027 	DATA 	
76.2027 	DATA 	Trial 2
76.2027 	DATA 	stimDur = 30
76.2027 	DATA 	restDur = 30

76.2027 	DATA 	
76.2027 	DATA 	TR 93 | TR1 47 | TR2 46
76.2027 	DATA 	
76.2028 	DATA 	stimulation started
76.2028 	DATA 	
77.1026 	DATA 	Keypress: 5
77.1030 	DATA 	TR 94 | TR1 47 | TR2 47
77.9526 	DATA 	Keypress: 5
77.9531 	DATA 	TR 95 | TR1 48 | TR2 47
78.7522 	DATA 	Keypress: 5
78.7526 	DATA 	TR 96 | TR1 48 | TR2 48
79.4687 	DATA 	Keypress: 5
79.4691 	DATA 	TR 97 | TR1 49 | TR2 48
80.3528 	DATA 	Keypress: 5
80.3532 	DATA 	TR 98 | TR1 49 | TR2 49
81.1697 	DATA 	Keypress: 5
81.1702 	DATA 	TR 99 | TR1 50 | TR2 49
81.9859 	DATA 	Keypress: 5
81.9864 	DATA 	TR 100 | TR1 50 | TR2 50
82.8023 	DATA 	Keypress: 5
82.8027 	DATA 	TR 101 | TR1 51 | TR2 50
83.7025 	DATA 	Keypress: 5
83.7029 	DATA 	TR 102 | TR1 51 | TR2 51
84.6855 	DATA 	Keypress: 5
84.6859 	DATA 	TR 103 | TR1 52 | TR2 51
85.6526 	DATA 	Keypress: 5
85.6530 	DATA 	TR 104 | TR1 52 | TR2 52
86.5532 	DATA 	Keypress: 5
86.5700 	DATA 	TR 105 | TR1 53 | TR2 52
87.5196 	DATA 	Keypress: 5
87.5201 	DATA 	TR 106 | TR1 53 | TR2 53
88.4197 	DATA 	Keypress: 5
88.4368 	DATA 	TR 107 | TR1 54 | TR2 53
89.1696 	DATA 	Keypress: 5
89.1701 	DATA 	TR 108 | TR1 54 | TR2 54
89.9863 	DATA 	Keypress: 5
89.9868 	DATA 	TR 109 | TR1 55 | TR2 54
90.7863 	DATA 	Keypress: 5
90.7868 	DATA 	TR 110 | TR1 55 | TR2 55
91.6362 	DATA 	Keypress: 5
91.6367 	DATA 	TR 111 | TR1 56 | TR2 55
92.5359 	DATA 	Keypress: 5
92.5364 	DATA 	TR 112 | TR1 56 | TR2 56
93.3694 	DATA 	Keypress: 5
93.3699 	DATA 	TR 113 | TR1 57 | TR2 56
94.3192 	DATA 	Keypress: 5
94.3360 	DATA 	TR 114 | TR1 57 | TR2 57
95.2024 	DATA 	Keypress: 5
95.2028 	DATA 	TR 115 | TR1 58 | TR2 57
96.0198 	DATA 	Keypress: 5
96.0203 	DATA 	TR 116 | TR1 58 | TR2 58
96.8521 	DATA 	Keypress: 5
96.8525 	DATA 	TR 117 | TR1 59 | TR2 58
97.6860 	DATA 	Keypress: 5
97.6865 	DATA 	TR 118 | TR1 59 | TR2 59
98.5029 	DATA 	Keypress: 5
98.5034 	DATA 	TR 119 | TR1 60 | TR2 59
99.4019 	DATA 	Keypress: 5
99.4023 	DATA 	TR 120 | TR1 60 | TR2 60
100.3196 	DATA 	Keypress: 5
100.3202 	DATA 	TR 121 | TR1 61 | TR2 60
101.1521 	DATA 	Keypress: 5
101.1525 	DATA 	TR 122 | TR1 61 | TR2 61
102.0199 	DATA 	Keypress: 5
102.0204 	DATA 	TR 123 | TR1 62 | TR2 61
102.8864 	DATA 	Keypress: 5
102.8869 	DATA 	TR 124 | TR1 62 | TR2 62
103.7017 	DATA 	Keypress: 5
103.7021 	DATA 	TR 125 | TR1 63 | TR2 62
104.5689 	DATA 	Keypress: 5
104.5694 	DATA 	TR 126 | TR1 63 | TR2 63
105.4364 	DATA 	Keypress: 5
105.4369 	DATA 	TR 127 | TR1 64 | TR2 63
106.2176 	DATA 	
106.2177 	DATA 	stimulation stopped
106.2177 	DATA 	
106.3026 	DATA 	Keypress: 5
106.3031 	DATA 	TR 128 | TR1 64 | TR2 64
107.1863 	DATA 	Keypress: 5
107.1867 	DATA 	TR 129 | TR1 65 | TR2 64
108.1685 	DATA 	Keypress: 5
108.1688 	DATA 	TR 130 | TR1 65 | TR2 65
109.0960 	DATA 	Keypress: 5
109.0965 	DATA 	TR 131 | TR1 66 | TR2 65
109.9611 	DATA 	Keypress: 5
109.9615 	DATA 	TR 132 | TR1 66 | TR2 66
110.7961 	DATA 	Keypress: 5
110.7965 	DATA 	TR 133 | TR1 67 | TR2 66
111.6466 	DATA 	Keypress: 5
111.6470 	DATA 	TR 134 | TR1 67 | TR2 67
112.4782 	DATA 	Keypress: 5
112.4786 	DATA 	TR 135 | TR1 68 | TR2 67
113.3944 	DATA 	Keypress: 5
113.3948 	DATA 	TR 136 | TR1 68 | TR2 68
114.2609 	DATA 	Keypress: 5
114.2613 	DATA 	TR 137 | TR1 69 | TR2 68
115.1095 	DATA 	Keypress: 5
115.1099 	DATA 	TR 138 | TR1 69 | TR2 69
116.0266 	DATA 	Keypress: 5
116.0270 	DATA 	TR 139 | TR1 70 | TR2 69
116.9614 	DATA 	Keypress: 5
116.9618 	DATA 	TR 140 | TR1 70 | TR2 70
117.7778 	DATA 	Keypress: 5
117.7781 	DATA 	TR 141 | TR1 71 | TR2 70
118.6615 	DATA 	Keypress: 5
118.6619 	DATA 	TR 142 | TR1 71 | TR2 71
119.6293 	DATA 	Keypress: 5
119.6298 	DATA 	TR 143 | TR1 72 | TR2 71
120.5275 	DATA 	Keypress: 5
120.5279 	DATA 	TR 144 | TR1 72 | TR2 72
121.4436 	DATA 	Keypress: 5
121.4440 	DATA 	TR 145 | TR1 73 | TR2 72
122.2759 	DATA 	Keypress: 5
122.2763 	DATA 	TR 146 | TR1 73 | TR2 73
123.1097 	DATA 	Keypress: 5
123.1101 	DATA 	TR 147 | TR1 74 | TR2 73
